Month.Year,Biomass,Wind offshore,Wind onshore,Solar AC
01.2007,2.521,,20.533,2.685
02.2007,2.531,,20.655,2.7
03.2007,2.559,,20.786,2.736
04.2007,2.579,,20.892,2.792
05.2007,2.607,,20.973,2.858
06.2007,2.642,,21.095,2.945
07.2007,2.696,,21.199,3.053
08.2007,2.73,,21.28,3.163
09.2007,2.775,,21.38,3.255
10.2007,2.83,,21.513,3.362
11.2007,2.896,,21.642,3.495
12.2007,3.095,,22.116,3.846
01.2008,3.117,,22.185,3.881
02.2008,3.134,,22.281,3.925
03.2008,3.147,,22.427,3.988
04.2008,3.167,,22.524,4.089
05.2008,3.177,,22.584,4.188
06.2008,3.204,,22.626,4.313
07.2008,3.223,,22.673,4.444
08.2008,3.244,,22.735,4.572
09.2008,3.259,,22.756,4.736
10.2008,3.313,,22.778,4.923
11.2008,3.348,,22.791,5.148
12.2008,3.499,,22.794,5.703
01.2009,3.539,,23.446,5.721
02.2009,3.556,,23.814,5.74
03.2009,3.571,,24.067,5.815
04.2009,3.578,,24.24,5.945
05.2009,3.59,,24.35,6.111
06.2009,3.604,,24.45,6.319
07.2009,3.629,,24.579,6.609
08.2009,3.654,0.03,24.761,6.905
09.2009,3.678,0.03,24.89,7.263
10.2009,3.718,0.03,25.054,7.627
11.2009,3.751,0.03,25.248,8.158
12.2009,3.904,0.035,25.697,9.881
01.2010,3.92,0.035,25.733,9.899
02.2010,3.928,0.035,25.764,9.951
03.2010,3.947,0.045,25.839,10.275
04.2010,3.961,0.06,25.899,10.774
05.2010,3.989,0.06,25.965,11.405
06.2010,4.019,0.06,26.141,14.436
07.2010,4.052,0.06,26.221,14.495
08.2010,4.087,0.06,26.296,14.626
09.2010,4.136,0.06,26.339,15.396
10.2010,4.19,0.06,26.429,15.49
11.2010,4.261,0.06,26.528,15.755
12.2010,4.478,0.082,26.823,17.091
01.2011,4.493,0.104,26.894,17.113
02.2011,4.513,0.104,26.998,17.144
03.2011,4.537,0.104,27.219,17.247
04.2011,4.562,0.166,27.264,17.416
05.2011,4.602,0.174,27.335,17.773
06.2011,4.636,0.191,27.502,18.492
07.2011,4.677,0.196,27.547,19.057
08.2011,4.732,0.196,27.64,19.615
09.2011,4.791,0.196,27.762,20.044
10.2011,4.86,0.196,27.924,20.48
11.2011,5.011,0.196,28.105,21.21
12.2011,5.521,0.196,28.579,24.627
01.2012,5.558,0.207,28.71,24.657
02.2012,5.572,0.218,28.91,24.714
03.2012,5.592,0.218,29.08,26.311
04.2012,5.603,0.229,29.172,26.402
05.2012,5.619,0.235,29.256,26.549
06.2012,5.638,0.24,29.382,28.667
07.2012,5.662,0.246,29.5,28.803
08.2012,5.693,0.262,29.672,29.046
09.2012,5.718,0.262,29.794,30.061
10.2012,5.744,0.273,29.903,30.52
11.2012,5.782,0.273,30.083,30.878
12.2012,5.889,0.284,30.556,31.107
01.2013,5.91,0.317,30.628,31.35
02.2013,5.923,0.334,30.749,31.522
03.2013,5.935,0.339,30.893,31.799
04.2013,5.948,0.356,31.029,32.162
05.2013,5.961,0.383,31.148,32.471
06.2013,5.971,0.405,31.295,32.763
07.2013,6.004,0.466,31.435,33.052
08.2013,6.023,0.532,31.58,33.31
09.2013,6.05,0.548,31.833,33.542
10.2013,6.08,0.548,32.039,33.749
11.2013,6.118,0.548,32.298,33.922
12.2013,6.26,0.548,32.969,34.043
01.2014,6.271,0.548,33.103,34.224
02.2014,6.283,0.654,33.371,34.314
03.2014,6.3,0.662,33.727,34.454
04.2014,6.332,0.662,33.945,34.628
05.2014,6.36,0.662,34.166,34.786
06.2014,6.409,0.662,34.462,34.95
07.2014,6.693,0.662,34.932,35.303
08.2014,6.696,0.662,35.147,35.408
09.2014,6.707,0.767,35.563,35.486
10.2014,6.717,0.832,35.97,35.556
11.2014,6.737,0.906,36.64,35.632
12.2014,6.786,1.049,37.621,35.684
01.2015,6.791,1.153,37.835,35.801
02.2015,6.796,1.397,38.011,35.866
03.2015,6.802,1.698,38.216,35.954
04.2015,6.811,2.045,38.347,36.039
05.2015,6.823,2.399,38.502,36.126
06.2015,6.833,2.869,38.697,36.206
07.2015,6.843,3.191,38.879,36.375
08.2015,6.851,3.314,39.162,36.663
09.2015,6.859,3.352,39.49,36.728
10.2015,6.872,3.382,39.762,36.787
11.2015,6.891,3.382,40.27,36.852
12.2015,6.912,3.382,41.297,36.988
01.2016,6.919,3.382,41.41,37.046
02.2016,6.927,3.463,41.596,37.089
03.2016,6.943,3.488,42.102,37.157
04.2016,6.954,3.488,42.255,37.237
05.2016,6.964,3.607,42.518,37.326
06.2016,6.982,3.651,43.13,37.42
07.2016,7.003,3.933,43.199,37.492
08.2016,7.014,3.99,43.446,37.593
09.2016,7.031,4.053,44.093,37.694
10.2016,7.052,4.137,44.2,37.794
11.2016,7.085,4.191,44.493,37.928
12.2016,7.143,4.237,45.283,38.353
01.2017,7.159,4.336,45.534,38.396
02.2017,7.176,4.399,45.925,38.528
03.2017,7.188,4.519,46.267,38.635
04.2017,7.206,4.656,46.578,38.772
05.2017,7.224,4.831,47.099,38.952
06.2017,7.248,4.886,47.494,39.142
07.2017,7.272,4.954,47.896,39.269
08.2017,7.297,5.015,48.186,39.407
09.2017,7.321,5.046,48.983,39.507
10.2017,7.356,5.057,49.083,39.649
11.2017,7.396,5.36,49.39,39.751
12.2017,7.455,5.523,50.174,39.887
01.2018,7.478,5.523,50.278,40.13
02.2018,7.508,5.523,50.467,40.307
03.2018,7.543,5.523,51.088,40.458
04.2018,7.563,5.523,51.141,40.661
05.2018,7.585,5.523,51.228,40.877
06.2018,7.615,5.523,51.677,41.199
07.2018,7.635,5.548,51.696,41.481
08.2018,7.668,5.74,51.745,41.771
09.2018,7.697,6.132,51.99,41.947
10.2018,7.734,6.431,52.033,42.121
11.2018,7.782,6.476,52.124,42.307
12.2018,7.887,6.513,52.328,42.601
01.2019,7.905,6.519,52.378,43.362
02.2019,7.943,6.556,52.413,43.665
03.2019,7.97,6.63,52.456,43.958
04.2019,8.005,6.698,52.478,44.201
05.2019,8.038,6.772,52.5,44.443
06.2019,8.06,6.772,52.551,44.677
07.2019,8.085,6.889,52.611,44.932
08.2019,8.098,7.475,52.642,45.236
09.2019,8.123,7.549,52.757,45.5
10.2019,8.148,7.604,52.834,45.843
11.2019,8.185,7.636,52.938,46.034
12.2019,8.238,7.655,53.193,46.258
01.2020,8.27,7.785,53.293,46.722
02.2020,8.29,7.785,53.423,46.996
03.2020,8.308,7.792,53.507,47.325
04.2020,8.332,7.817,53.578,47.678
05.2020,8.365,7.842,53.654,48.108
06.2020,8.395,7.868,53.721,48.52
07.2020,8.427,7.874,53.782,48.909
08.2020,8.45,7.874,53.865,49.273
09.2020,8.472,7.874,53.933,49.627
10.2020,8.498,7.874,54.061,50.008
11.2020,8.565,7.874,54.237,50.466
12.2020,8.617,7.874,54.414,50.936
01.2021,8.629,7.874,54.488,51.295
02.2021,8.641,7.874,54.655,51.642
03.2021,8.656,7.874,54.861,52.251
04.2021,8.672,7.874,54.992,52.795
05.2021,8.681,7.874,55.052,53.161
06.2021,8.694,7.874,55.239,53.572
07.2021,8.719,7.874,55.356,54.045
08.2021,8.726,7.874,55.45,54.417
09.2021,8.727,7.874,55.563,54.844
10.2021,8.733,7.874,55.712,55.234
11.2021,8.743,7.874,55.804,55.568
12.2021,8.742,7.874,56.046,56.082
01.2022,8.749,7.874,56.124,56.541
02.2022,8.757,7.874,56.256,57.191
03.2022,8.761,7.874,56.36,57.941
04.2022,8.767,7.874,56.45,58.38
05.2022,8.773,7.874,56.635,58.97
06.2022,8.779,7.874,56.845,59.49
07.2022,8.776,7.883,57.011,59.948
08.2022,8.773,8.045,57.145,60.582
09.2022,8.777,8.054,57.37,61.35
10.2022,8.786,8.099,57.51,61.922
11.2022,8.79,8.171,57.742,62.507
12.2022,8.798,8.216,58.014,62.924
01.2023,8.796,8.254,58.064,63.857
02.2023,8.8,8.292,58.207,64.704
03.2023,8.803,8.359,58.476,65.846
04.2023,8.789,8.426,58.727,66.927
05.2023,8.791,8.445,58.995,68.158
06.2023,8.791,8.445,59.308,69.431
07.2023,8.793,8.445,59.506,70.799
08.2023,8.831,8.445,59.665,72.066
09.2023,8.85,8.445,60.024,73.187
10.2023,8.853,8.445,60.435,74.569
11.2023,8.867,8.473,60.643,75.877
12.2023,8.838,8.473,61.013,76.894
01.2024,8.84,8.473,61.134,78.366
02.2024,8.847,8.473,61.351,79.435
03.2024,8.863,8.473,61.547,80.67
04.2024,8.884,8.473,61.691,81.895
05.2024,8.915,8.695,61.744,82.995
06.2024,8.92,8.851,61.917,84.295
07.2024,8.909,9.04,62.124,85.819
08.2024,8.93,9.127,62.303,86.789
09.2024,8.933,9.215,62.514,87.952
10.2024,8.935,9.215,62.719,89.504
11.2024,8.94,9.215,63.182,90.604
12.2024,8.941,9.215,63.589,92.419
01.2025,8.951,9.215,63.778,93.836
02.2025,8.953,9.215,64.086,95.451
03.2025,8.969,9.215,64.444,96.227
04.2025,9.005,9.215,64.706,97.177
05.2025,8.956,9.215,65.075,98.275
06.2025,8.957,9.215,65.442,99.249
07.2025,8.964,9.215,65.784,100.645
08.2025,8.963,9.215,66.146,102.431
09.2025,8.963,9.215,66.484,103.327
10.2025,8.965,9.215,67.088,104.514
11.2025,8.977,9.23,67.445,106.27
12.2025,8.98,9.733,68.215,107.55
01.2026,8.999,9.904,68.4,108.613
02.2026,9.002,10.019,68.648,109.369
03.2026,9.002,10.201,69.037,110.457
04.2026,9.003,10.289,69.063,110.647
